# position density temperature
1.73279 3.67871 0.873558
2.29976 3.6787 0.873662
2.86896 3.67873 0.873615
3.4465 3.67869 0.873564
4.0215 3.67874 0.903851
4.58957 3.67877 0.903227
5.16171 3.67874 0.902092
5.73902 3.67874 0.901983
6.31122 3.67877 0.901259
6.88071 3.67864 0.898433
7.45277 3.67875 0.88952
33.9432 3.67874 0.76288
34.516 3.67868 0.754552
35.0844 3.6787 0.752727
35.6579 3.67877 0.751423
36.2377 3.67867 0.750906
36.8093 3.67876 0.750945
37.3759 3.67871 0.749264
37.9527 3.67875 0.714882
38.5329 3.67873 0.714877
39.1012 3.67871 0.71488
39.6663 3.67874 0.714851
