# position density temperature
1.74994 3.67874 0.794241
2.3158 3.6787 0.794367
2.852 3.67874 0.794221
3.45 3.67872 0.7941
4.0499 3.67875 0.826602
4.62534 3.67875 0.827178
5.15489 3.67871 0.826732
5.75 3.67876 0.82745
6.34992 3.67867 0.827292
6.93075 3.67875 0.827085
7.46632 3.67869 0.826977
33.8495 3.67868 0.827243
34.4369 3.67873 0.827113
34.9652 3.67867 0.827037
35.55 3.67869 0.82689
36.15 3.67868 0.827
36.7442 3.67871 0.827289
37.2713 3.67868 0.827294
37.8501 3.67872 0.79411
38.45 3.67872 0.79429
39.0478 3.67876 0.794222
39.5785 3.6787 0.794163
