     # position        density    temperature             vx             vy             vz
   0.50000E-001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.15000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.25000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.35000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.45000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.55000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.65000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.75000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.85000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.95000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.15500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.16500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.17500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.18500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.21500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.22500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.23500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.24500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.25500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.26500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.27500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.28500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.29500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.30500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.31500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.32500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.33500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.34500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.35500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.36500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.37500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.38500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.39500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.40500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.41500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.42500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.43500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.44500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.45500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.46500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.47500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.48500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.49500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.50500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.51500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.52500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.53500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.54500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.55500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.56500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.57500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.58500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.59500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.60500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.61500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.62500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.63500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.64500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.65500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.66500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.67500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.68500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.69500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.70500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.71500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.72500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.73500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.74500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.75500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.76500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.77500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.78500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.79500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.80500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.81500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.82500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.83500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.84500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
